produto_id,categoria,sub_categoria,nome_produto
OFF-BI-10001120,Office Supplies,Binders,Ibico EPK-21 Electric Binding System
FUR-CH-10003365,Furniture,Chairs,"Office Star Executive Leather Armchair, Adjustable"
FUR-CH-10000602,Furniture,Chairs,"Novimex Executive Leather Armchair, Red"
TEC-MA-10002680,Technology,Machines,"Konica Inkjet, White"
FUR-CH-10000891,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Black"
TEC-CAN-10003392,Technology,Copiers,"Canon Copy Machine, Color"
TEC-CO-10001449,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier
FUR-BO-10001372,Furniture,Bookcases,"Safco Classic Bookcase, Pine"
TEC-MOT-10002272,Technology,Phones,"Motorola Smart Phone, with Caller ID"
TEC-CO-10004997,Technology,Copiers,"Hewlett Wireless Fax, Color"
TEC-CO-10001766,Technology,Copiers,Canon PC940 Copier
FUR-TA-10000226,Furniture,Tables,"Chromcraft Conference Table, with Bottom Storage"
OFF-AP-10002244,Office Supplies,Appliances,"Breville Refrigerator, White"
TEC-PH-10001459,Technology,Phones,Samsung Galaxy Mega 6.3
FUR-BO-10001073,Furniture,Bookcases,"Safco Classic Bookcase, Metal"
TEC-MA-10000045,Technology,Machines,Zebra ZM400 Thermal Label Printer
TEC-PH-10002035,Technology,Phones,"Samsung Smart Phone, Cordless"
TEC-PH-10002565,Technology,Phones,"Apple Audio Dock, with Caller ID"
OFF-AP-10002945,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room
FUR-BO-10004999,Furniture,Bookcases,"Safco Classic Bookcase, Metal"
FUR-TA-10001205,Furniture,Tables,"Chromcraft Wood Table, Rectangular"
TEC-PH-10004196,Technology,Phones,"Samsung Smart Phone, Cordless"
FUR-CHR-10001018,Furniture,Tables,"Chromcraft Round Table, Rectangular"
FUR-CH-10003232,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Adjustable"
OFF-AP-10001630,Office Supplies,Appliances,"Hamilton Beach Microwave, Black"
FUR-HAR-10002873,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Adjustable"
FUR-TA-10000687,Furniture,Tables,"Bevis Conference Table, with Bottom Storage"
TEC-PH-10004505,Technology,Phones,"Nokia Smart Phone, Full Size"
TEC-PH-10002683,Technology,Phones,"Apple Smart Phone, Cordless"
TEC-CO-10002269,Technology,Copiers,"Brother Ink, Color"
TEC-CO-10002526,Technology,Copiers,"Sharp Wireless Fax, Digital"
FUR-CH-10002891,Furniture,Chairs,"Hon Executive Leather Armchair, Adjustable"
TEC-CAN-10001437,Technology,Copiers,"Canon Wireless Fax, Laser"
OFF-BI-10004995,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System
TEC-PH-10004327,Technology,Phones,"Motorola Smart Phone, Full Size"
OFF-AP-10001621,Office Supplies,Appliances,"Hamilton Beach Refrigerator, Black"
OFF-HOO-10001881,Office Supplies,Appliances,"Hoover Stove, White"
TEC-CO-10001954,Technology,Copiers,"Brother Wireless Fax, Laser"
FUR-BO-10003282,Furniture,Bookcases,"Ikea Classic Bookcase, Mobile"
TEC-CO-10003102,Technology,Copiers,"Canon Copy Machine, Color"
FUR-TA-10003392,Furniture,Tables,Global Adaptabilities Conference Tables
OFF-AP-10002552,Office Supplies,Appliances,"Hamilton Beach Stove, White"
TEC-MOT-10000554,Technology,Phones,"Motorola Smart Phone, Full Size"
FUR-TA-10003627,Furniture,Tables,"Bevis Conference Table, with Bottom Storage"
FUR-BO-10001133,Furniture,Bookcases,"Ikea Classic Bookcase, Mobile"
TEC-MA-10003515,Technology,Machines,"Panasonic Printer, Red"
OFF-AP-10002904,Office Supplies,Appliances,"Hamilton Beach Refrigerator, Silver"
TEC-MOT-10003348,Technology,Phones,"Motorola Smart Phone, Full Size"
TEC-PH-10001990,Technology,Phones,"Cisco Smart Phone, Full Size"
TEC-PH-10002898,Technology,Phones,"Samsung Smart Phone, Full Size"
TEC-CO-10001633,Technology,Copiers,"Sharp Fax Machine, High-Speed"
TEC-PH-10002623,Technology,Phones,"Cisco Smart Phone, with Caller ID"
FUR-TA-10004575,Furniture,Tables,Hon 5100 Series Wood Tables
FUR-BO-10001498,Furniture,Bookcases,"Dania Classic Bookcase, Pine"
OFF-AP-10003598,Office Supplies,Appliances,"Breville Refrigerator, Red"
FUR-CH-10001582,Furniture,Chairs,"Office Star Executive Leather Armchair, Black"
TEC-MA-10001047,Technology,Machines,"3D Systems Cube Printer, 2nd Generation, Magenta"
TEC-PH-10000505,Technology,Phones,"Apple Smart Phone, with Caller ID"
FUR-BO-10002003,Furniture,Bookcases,"Sauder Classic Bookcase, Metal"
TEC-CO-10001775,Technology,Copiers,"Sharp Wireless Fax, Laser"
OFF-AP-10000647,Office Supplies,Appliances,"Hoover Refrigerator, White"
TEC-MA-10004002,Technology,Machines,Zebra GX420t Direct Thermal/Thermal Transfer Printer
TEC-CO-10001926,Technology,Copiers,"Hewlett Wireless Fax, Laser"
OFF-ST-10001496,Office Supplies,Storage,Standard Rollaway File with Lock
FUR-CH-10002203,Furniture,Chairs,"SAFCO Executive Leather Armchair, Black"
FUR-BO-10001934,Furniture,Bookcases,"Bush Library with Doors, Metal"
TEC-CO-10000562,Technology,Copiers,"HP Wireless Fax, Digital"
TEC-MA-10001127,Technology,Machines,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color"
OFF-BI-10000545,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System
TEC-CO-10002035,Technology,Copiers,"Canon Wireless Fax, High-Speed"
TEC-CO-10004099,Technology,Copiers,"Sharp Fax Machine, Digital"
TEC-PH-10003002,Technology,Phones,"Cisco Smart Phone, Full Size"
FUR-TA-10001932,Furniture,Tables,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table"
TEC-CO-10004722,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier
FUR-CH-10000749,Furniture,Chairs,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms
TEC-CO-10004398,Technology,Copiers,"Brother Copy Machine, Color"
TEC-CO-10004535,Technology,Copiers,"Hewlett Fax Machine, High-Speed"
TEC-AC-10000420,Technology,Accessories,"Belkin Router, USB"
FUR-BO-10001212,Furniture,Bookcases,"Safco Classic Bookcase, Mobile"
TEC-PH-10001670,Technology,Phones,"Motorola Smart Phone, Full Size"
FUR-CH-10001215,Furniture,Chairs,Global Troy Executive Leather Low-Back Tilter
FUR-BO-10004679,Furniture,Bookcases,"Safco Library with Doors, Pine"
OFF-AP-10001776,Office Supplies,Appliances,"Hoover Refrigerator, Red"
TEC-MA-10003704,Technology,Machines,"StarTech Printer, Wireless"
FUR-CH-10001854,Furniture,Chairs,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat
TEC-MA-10000984,Technology,Machines,Okidata MB760 Printer
TEC-AC-10000376,Technology,Accessories,"Memorex Router, Bluetooth"
TEC-CO-10003800,Technology,Copiers,"Hewlett Wireless Fax, Color"
TEC-SAM-10004230,Technology,Phones,"Samsung Smart Phone, Cordless"
FUR-CH-10002320,Furniture,Chairs,Hon Pagoda Stacking Chairs
OFF-AP-10002312,Office Supplies,Appliances,"KitchenAid Refrigerator, Black"
TEC-PH-10000169,Technology,Phones,"Apple Smart Phone, with Caller ID"
FUR-CH-10000595,Furniture,Chairs,Safco Contoured Stacking Chairs
FUR-BO-10000288,Furniture,Bookcases,"Safco Classic Bookcase, Traditional"
TEC-AC-10000866,Technology,Accessories,"Belkin Router, Erganomic"
OFF-AP-10001623,Office Supplies,Appliances,"Hoover Stove, White"
FUR-BO-10003541,Furniture,Bookcases,"Bush Classic Bookcase, Metal"
TEC-CO-10004365,Technology,Copiers,"HP Wireless Fax, Color"
TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer
TEC-PH-10000800,Technology,Phones,"Cisco Smart Phone, Full Size"
FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish"
FUR-TA-10001642,Furniture,Tables,"Lesro Round Table, Rectangular"
OFF-AP-10001041,Office Supplies,Appliances,"Hoover Stove, White"
OFF-AP-10002090,Office Supplies,Appliances,"Hamilton Beach Refrigerator, Red"
OFF-AP-10002330,Office Supplies,Appliances,"Hamilton Beach Stove, Silver"
TEC-CIS-10002344,Technology,Phones,"Cisco Smart Phone, Full Size"
FUR-TA-10002153,Furniture,Tables,"Lesro Round Table, with Bottom Storage"
OFF-AP-10004964,Office Supplies,Appliances,"Hoover Stove, White"
TEC-AC-10003832,Technology,Accessories,Logitech P710e Mobile Speakerphone
FUR-CH-10002061,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Red"
TEC-PH-10002759,Technology,Phones,"Cisco Smart Phone, Cordless"
TEC-PH-10001699,Technology,Phones,"Samsung Smart Phone, Full Size"
TEC-MA-10000418,Technology,Machines,Cubify CubeX 3D Printer Double Head Print
TEC-PH-10001494,Technology,Phones,Polycom CX600 IP Phone VoIP phone
FUR-BO-10000490,Furniture,Bookcases,"Bush Library with Doors, Metal"
TEC-PH-10000018,Technology,Phones,"Nokia Smart Phone, Full Size"
FUR-HON-10003533,Furniture,Chairs,"Hon Executive Leather Armchair, Adjustable"
TEC-AC-10001949,Technology,Accessories,"Enermax Router, Bluetooth"
OFF-HOO-10004910,Office Supplies,Appliances,"Hoover Refrigerator, White"
TEC-MA-10001335,Technology,Machines,"Epson Printer, Durable"
FUR-TA-10000347,Furniture,Tables,"Hon Computer Table, Adjustable Height"
TEC-PH-10000493,Technology,Phones,"Apple Smart Phone, Full Size"
FUR-TA-10003596,Furniture,Tables,"Lesro Computer Table, Adjustable Height"
FUR-TA-10003179,Furniture,Tables,"Lesro Wood Table, Fully Assembled"
TEC-PH-10001396,Technology,Phones,"Nokia Smart Phone, Cordless"
FUR-TA-10003078,Furniture,Tables,"Hon Training Table, Fully Assembled"
FUR-CH-10003581,Furniture,Chairs,"Hon Executive Leather Armchair, Adjustable"
FUR-TA-10000184,Furniture,Tables,"Barricks Conference Table, Fully Assembled"
OFF-AP-10001956,Office Supplies,Appliances,"Breville Refrigerator, Black"
TEC-PH-10002200,Technology,Phones,Samsung Galaxy Note 2
OFF-AP-10003382,Office Supplies,Appliances,"Breville Stove, White"
OFF-ST-10002011,Office Supplies,Storage,Smead Adjustable Mobile File Trolley with Lockable Top
OFF-AP-10003917,Office Supplies,Appliances,"KitchenAid Stove, Silver"
OFF-ST-10002900,Office Supplies,Storage,"Smead Lockers, Wire Frame"
TEC-CO-10003819,Technology,Copiers,"Sharp Copy Machine, High-Speed"
OFF-AP-10000675,Office Supplies,Appliances,"Hamilton Beach Stove, White"
FUR-BO-10003404,Furniture,Bookcases,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish"
OFF-AP-10001824,Office Supplies,Appliances,"Breville Stove, Silver"
OFF-SME-10000746,Office Supplies,Storage,"Smead Lockers, Industrial"
TEC-MA-10003673,Technology,Machines,Hewlett-Packard Desktjet 6988DT Refurbished Printer
OFF-ST-10001490,Office Supplies,Storage,"Hot File 7-Pocket, Floor Stand"
TEC-PH-10001578,Technology,Phones,Polycom SoundStation2 EX Conference phone
TEC-CO-10000208,Technology,Copiers,"Brother Wireless Fax, Color"
FUR-CH-10003312,Furniture,Chairs,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs
TEC-EPS-10000053,Technology,Machines,"Epson Receipt Printer, Red"
OFF-ST-10004060,Office Supplies,Storage,"Fellowes Lockers, Blue"
TEC-PH-10000303,Technology,Phones,"Samsung Smart Phone, VoIP"
FUR-BO-10002708,Furniture,Bookcases,"Dania Library with Doors, Pine"
FUR-BO-10000210,Furniture,Bookcases,"Ikea Library with Doors, Pine"
FUR-BO-10001192,Furniture,Bookcases,"Bush Library with Doors, Mobile"
FUR-SAU-10002255,Furniture,Bookcases,"Sauder Classic Bookcase, Pine"
FUR-CH-10000974,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Black"
OFF-AP-10003866,Office Supplies,Appliances,"Breville Microwave, Red"
FUR-CH-10003616,Furniture,Chairs,"Novimex Executive Leather Armchair, Adjustable"
FUR-CH-10000479,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Adjustable"
TEC-CO-10001046,Technology,Copiers,Canon Imageclass D680 Copier / Fax
OFF-HOO-10000318,Office Supplies,Appliances,"Hoover Microwave, Silver"
TEC-NOK-10001283,Technology,Phones,"Nokia Smart Phone, Full Size"
OFF-AP-10000407,Office Supplies,Appliances,"KitchenAid Refrigerator, Silver"
OFF-BI-10001359,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System
FUR-CH-10002335,Furniture,Chairs,Hon GuestStacker Chair
TEC-MA-10001148,Technology,Machines,Okidata MB491 Multifunction Printer
FUR-BAR-10004434,Furniture,Tables,"Barricks Wood Table, Rectangular"
FUR-BO-10002444,Furniture,Bookcases,"Sauder Library with Doors, Mobile"
FUR-BO-10004709,Furniture,Bookcases,"Bush Classic Bookcase, Pine"
TEC-MA-10004772,Technology,Machines,"Konica Inkjet, White"
FUR-BAR-10003532,Furniture,Tables,"Barricks Conference Table, Rectangular"
TEC-CO-10002911,Technology,Copiers,"Hewlett Wireless Fax, Laser"
FUR-TA-10001705,Furniture,Tables,Bush Advantage Collection Round Conference Table
FUR-SAU-10004653,Furniture,Bookcases,"Sauder Classic Bookcase, Traditional"
TEC-NOK-10004339,Technology,Phones,"Nokia Smart Phone, Cordless"
FUR-TA-10000022,Furniture,Tables,"Hon Conference Table, Adjustable Height"
FUR-CH-10000843,Furniture,Chairs,"SAFCO Executive Leather Armchair, Set of Two"
OFF-AP-10002681,Office Supplies,Appliances,"Hamilton Beach Stove, Black"
TEC-AC-10002049,Technology,Accessories,Plantronics Savi W720 Multi-Device Wireless Headset System
OFF-BI-10003925,Office Supplies,Binders,Fellowes PB300 Plastic Comb Binding Machine
OFF-AP-10004627,Office Supplies,Appliances,"Hamilton Beach Stove, Silver"
TEC-PH-10001076,Technology,Phones,"Nokia Smart Phone, Cordless"
TEC-PH-10001457,Technology,Phones,"Apple Smart Phone, Full Size"
TEC-MA-10004534,Technology,Machines,"Konica Printer, Wireless"
FUR-BO-10003991,Furniture,Bookcases,"Bush Classic Bookcase, Traditional"
OFF-AP-10002793,Office Supplies,Appliances,"KitchenAid Stove, Black"
FUR-CH-10002093,Furniture,Chairs,"Harbour Creations Rocking Chair, Adjustable"
FUR-BO-10003103,Furniture,Bookcases,"Ikea Classic Bookcase, Metal"
TEC-CO-10001818,Technology,Copiers,"Sharp Wireless Fax, Digital"
TEC-CO-10002040,Technology,Copiers,"Brother Fax Machine, Digital"
TEC-CO-10001654,Technology,Copiers,"Hewlett Wireless Fax, Digital"
OFF-AP-10002397,Office Supplies,Appliances,"Breville Microwave, White"
TEC-CAN-10001853,Technology,Copiers,"Canon Fax Machine, High-Speed"
FUR-CH-10001207,Furniture,Chairs,"Hon Executive Leather Armchair, Red"
TEC-PH-10002597,Technology,Phones,"Apple Signal Booster, with Caller ID"
TEC-CO-10002617,Technology,Copiers,"Brother Fax Machine, High-Speed"
TEC-CO-10000556,Technology,Copiers,"HP Wireless Fax, Laser"
OFF-AP-10000275,Office Supplies,Appliances,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black"
TEC-HEW-10003460,Technology,Copiers,"Hewlett Fax and Copier, Color"
TEC-PH-10002672,Technology,Phones,"Cisco Smart Phone, Full Size"
TEC-PH-10000106,Technology,Phones,"Apple Smart Phone, Full Size"
OFF-AP-10003057,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room
TEC-CO-10002095,Technology,Copiers,Hewlett Packard 610 Color Digital Copier / Printer
TEC-SAM-10000345,Technology,Phones,"Samsung Audio Dock, with Caller ID"
TEC-CIS-10002259,Technology,Phones,"Cisco Smart Phone, Cordless"
OFF-AP-10004350,Office Supplies,Appliances,"KitchenAid Refrigerator, Red"
OFF-HOO-10000335,Office Supplies,Appliances,"Hoover Microwave, White"
FUR-BO-10004129,Furniture,Bookcases,"Sauder Classic Bookcase, Pine"
OFF-ST-10004597,Office Supplies,Storage,"Rogers File Cart, Blue"
FUR-CH-10001664,Furniture,Chairs,"Novimex Swivel Stool, Black"
OFF-AP-10003240,Office Supplies,Appliances,"Breville Stove, Black"
FUR-TA-10000136,Furniture,Tables,"Chromcraft Conference Table, Adjustable Height"
FUR-BO-10002866,Furniture,Bookcases,"Safco Classic Bookcase, Pine"
OFF-ST-10004459,Office Supplies,Storage,Tennsco Single-Tier Lockers
FUR-TA-10001276,Furniture,Tables,"Lesro Coffee Table, with Bottom Storage"
TEC-MA-10002178,Technology,Machines,Cisco CP-7937G Unified IP Conference Station Phone
TEC-APP-10002966,Technology,Phones,"Apple Smart Phone, Full Size"
FUR-CH-10000685,Furniture,Chairs,"Hon Executive Leather Armchair, Black"
FUR-BO-10001541,Furniture,Bookcases,"Bush Stackable Bookrack, Traditional"
TEC-CO-10003931,Technology,Copiers,"Hewlett Fax Machine, High-Speed"
FUR-BO-10001553,Furniture,Bookcases,"Sauder Library with Doors, Traditional"
OFF-ST-10004748,Office Supplies,Storage,"Smead Lockers, Blue"
OFF-AP-10000540,Office Supplies,Appliances,"Hamilton Beach Refrigerator, Red"
TEC-CO-10004567,Technology,Copiers,"Brother Fax Machine, Color"
FUR-BO-10001749,Furniture,Bookcases,"Bush Classic Bookcase, Traditional"
OFF-ROG-10003898,Office Supplies,Storage,"Rogers Lockers, Single Width"
TEC-MA-10000864,Technology,Machines,Cisco 9971 IP Video Phone Charcoal
TEC-CO-10002663,Technology,Copiers,"Sharp Wireless Fax, Laser"
TEC-CO-10001419,Technology,Copiers,"Hewlett Copy Machine, Color"
TEC-CO-10003763,Technology,Copiers,Canon PC1060 Personal Laser Copier
TEC-CO-10000679,Technology,Copiers,"Hewlett Personal Copier, High-Speed"
FUR-IKE-10001539,Furniture,Bookcases,"Ikea Classic Bookcase, Pine"
TEC-CO-10002376,Technology,Copiers,"Hewlett Fax Machine, Laser"
FUR-TA-10002903,Furniture,Tables,"Bevis Round Bullnose 29"" High Table Top"
OFF-AP-10000136,Office Supplies,Appliances,"Hamilton Beach Refrigerator, White"
FUR-BO-10000567,Furniture,Bookcases,"Sauder Classic Bookcase, Traditional"
FUR-BO-10001471,Furniture,Bookcases,"Sauder Classic Bookcase, Metal"
OFF-ST-10001758,Office Supplies,Storage,"Rogers Lockers, Blue"
TEC-AC-10003870,Technology,Accessories,Logitech Z-906 Speaker sys - home theater - 5.1-CH
OFF-ST-10004191,Office Supplies,Storage,"Tenex Lockers, Blue"
FUR-TA-10004154,Furniture,Tables,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer"
FUR-OFF-10001224,Furniture,Chairs,"Office Star Swivel Stool, Red"
FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"
OFF-AP-10004913,Office Supplies,Appliances,"KitchenAid Refrigerator, Black"
TEC-MA-10002392,Technology,Machines,"Konica Card Printer, Wireless"
FUR-TA-10003222,Furniture,Tables,"Barricks Wood Table, with Bottom Storage"
TEC-AC-10000639,Technology,Accessories,"Belkin Router, Bluetooth"
FUR-TA-10003354,Furniture,Tables,"Barricks Conference Table, Adjustable Height"
OFF-BI-10003091,Office Supplies,Binders,GBC DocuBind TL200 Manual Binding Machine
OFF-AP-10001527,Office Supplies,Appliances,"Hamilton Beach Microwave, Black"
TEC-SAM-10004940,Technology,Phones,"Samsung Smart Phone, Full Size"
TEC-CO-10003777,Technology,Copiers,"Hewlett Copy Machine, Color"
OFF-AP-10001169,Office Supplies,Appliances,"Cuisinart Microwave, White"
FUR-BO-10002213,Furniture,Bookcases,DMI Eclipse Executive Suite Bookcases
FUR-BO-10000120,Furniture,Bookcases,"Sauder Stackable Bookrack, Mobile"
TEC-PH-10002991,Technology,Phones,"Apple Smart Phone, Full Size"
FUR-TA-10000989,Furniture,Tables,"Lesro Conference Table, Rectangular"
TEC-MA-10004609,Technology,Machines,"Okidata Inkjet, White"
TEC-CO-10003448,Technology,Copiers,"Canon Personal Copier, Laser"
TEC-CO-10003496,Technology,Copiers,"Brother Wireless Fax, Digital"
OFF-ST-10003150,Office Supplies,Storage,"Smead Lockers, Wire Frame"
FUR-BO-10004947,Furniture,Bookcases,"Safco Stackable Bookrack, Pine"
FUR-CH-10004694,Furniture,Chairs,"Office Star Rocking Chair, Black"
FUR-CH-10004669,Furniture,Chairs,"Novimex Executive Leather Armchair, Black"
FUR-BO-10001196,Furniture,Bookcases,"Bush Library with Doors, Pine"
OFF-KIT-10001380,Office Supplies,Appliances,"KitchenAid Microwave, Black"
TEC-MA-10000753,Technology,Machines,"Epson Printer, Red"
OFF-ST-10000624,Office Supplies,Storage,"Eldon File Cart, Single Width"
TEC-PH-10002601,Technology,Phones,"Motorola Smart Phone, Cordless"
OFF-ROG-10001735,Office Supplies,Storage,"Rogers Lockers, Blue"
FUR-TA-10002256,Furniture,Tables,"Hon Wood Table, Fully Assembled"
TEC-CO-10001413,Technology,Copiers,"Hewlett Wireless Fax, High-Speed"
FUR-LES-10002026,Furniture,Tables,"Lesro Conference Table, Rectangular"
TEC-MA-10001777,Technology,Machines,"Okidata Printer, Red"
FUR-CH-10004462,Furniture,Chairs,"Hon Executive Leather Armchair, Adjustable"
FUR-BO-10002580,Furniture,Bookcases,"Safco Classic Bookcase, Pine"
TEC-PH-10004618,Technology,Phones,"Motorola Signal Booster, Cordless"
OFF-ROG-10001101,Office Supplies,Storage,"Rogers Shelving, Wire Frame"
OFF-AP-10002252,Office Supplies,Appliances,"Cuisinart Stove, Black"
FUR-CH-10000660,Furniture,Chairs,"Novimex Executive Leather Armchair, Adjustable"
FUR-TA-10001285,Furniture,Tables,"Chromcraft Conference Table, Fully Assembled"
OFF-ST-10003741,Office Supplies,Storage,"Smead Lockers, Blue"
FUR-BO-10003046,Furniture,Bookcases,"Safco Library with Doors, Mobile"
FUR-TA-10001116,Furniture,Tables,"Barricks Conference Table, Fully Assembled"
TEC-PH-10004586,Technology,Phones,Wilson SignalBoost 841262 DB PRO Amplifier Kit
FUR-CH-10002780,Furniture,Chairs,"Office Star Executive Leather Armchair, Black"
FUR-BO-10004558,Furniture,Bookcases,"Sauder Library with Doors, Pine"
TEC-PH-10003457,Technology,Phones,"Cisco Smart Phone, Full Size"
TEC-MEM-10002005,Technology,Accessories,"Memorex Router, Erganomic"
TEC-CO-10003342,Technology,Copiers,"Canon Fax Machine, High-Speed"
FUR-CH-10004086,Furniture,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs
FUR-BEV-10004919,Furniture,Tables,"Bevis Wood Table, with Bottom Storage"
TEC-OKI-10001385,Technology,Machines,"Okidata Inkjet, White"
FUR-CH-10003009,Furniture,Chairs,"Novimex Swivel Stool, Adjustable"
FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors"
OFF-BI-10004519,Office Supplies,Binders,GBC DocuBind P100 Manual Binding Machine
OFF-AP-10001931,Office Supplies,Appliances,"Cuisinart Stove, Red"
OFF-AP-10001305,Office Supplies,Appliances,"Breville Microwave, White"
TEC-CO-10002150,Technology,Copiers,"Canon Fax and Copier, Digital"
TEC-PH-10004823,Technology,Phones,"Nokia Smart Phone, Full Size"
FUR-CH-10000051,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Black"
FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
TEC-PH-10001795,Technology,Phones,ClearOne CHATAttach 160 - speaker phone
FUR-TA-10003268,Furniture,Tables,"Lesro Round Table, Rectangular"
TEC-AC-10001838,Technology,Accessories,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset
FUR-BO-10002204,Furniture,Bookcases,"Bush Classic Bookcase, Pine"
TEC-AC-10004571,Technology,Accessories,"Logitech Router, Programmable"
FUR-CH-10004095,Furniture,Chairs,"SAFCO Executive Leather Armchair, Adjustable"
TEC-MA-10000010,Technology,Machines,Hewlett-Packard Deskjet 3050a All-in-One Color Inkjet Printer
OFF-KIT-10003683,Office Supplies,Appliances,"KitchenAid Stove, Silver"
FUR-BO-10000980,Furniture,Bookcases,"Bush Library with Doors, Traditional"
